date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-31,5.05,5.06,4.97,4.97,16649.7,-0.02,-0.4,5.056,5.054,5.211,25853.68,29843.08,51196.99
2020-03-30,5.08,5.08,4.99,4.95,29668.0,-0.12,-2.35,5.076,5.068,5.233,27593.22,33225.29,54735.77
2020-03-27,5.1,5.14,5.11,5.07,31084.76,0.05,0.99,5.072,5.081,5.247,29458.8,35790.34,55467.19
2020-03-26,5.1,5.15,5.06,5.05,22825.54,-0.09,-1.75,5.07,5.095,5.248,28379.42,38775.95,57692.12
2020-03-25,5.14,5.16,5.15,5.08,29040.38,0.08,1.58,5.068,5.12,5.264,32236.51,42501.72,59571.13
2020-03-24,5.03,5.08,5.07,4.99,25347.42,0.1,2.01,5.052,5.151,5.271,33832.49,45995.64,61380.95
2020-03-23,5.05,5.05,4.97,4.96,38995.9,-0.13,-2.55,5.06,5.189,5.282,38857.36,50554.9,64165.64
2020-03-20,5.1,5.13,5.1,5.06,25687.84,0.05,0.99,5.09,5.231,5.304,42121.87,55225.96,64874.47
2020-03-19,5.01,5.11,5.05,4.97,42111.0,-0.02,-0.39,5.12,5.279,5.318,49172.48,60602.53,66705.89
2020-03-18,5.14,5.23,5.07,5.06,37020.27,-0.04,-0.78,5.172,5.328,5.335,52766.93,65054.21,67370.27
2020-03-17,5.14,5.19,5.11,4.98,50471.8,-0.01,-0.2,5.25,5.367,5.347,58158.79,72550.9,67979.9
2020-03-16,5.28,5.33,5.12,5.1,55318.44,-0.13,-2.48,5.318,5.397,5.358,62252.44,76246.25,67990.76
2020-03-13,4.98,5.3,5.25,4.97,60940.9,-0.06,-1.13,5.372,5.413,5.367,68330.06,75144.05,67787.79
2020-03-12,5.43,5.46,5.31,5.27,60083.25,-0.15,-2.75,5.438,5.4,5.364,72032.57,76608.28,66093.62
2020-03-11,5.45,5.55,5.46,5.44,63979.57,0.01,0.18,5.484,5.407,5.358,77341.49,76640.54,65544.8
2020-03-10,5.29,5.46,5.45,5.2,70940.06,0.06,1.11,5.484,5.391,5.348,86943.02,76766.26,63734.73
2020-03-09,5.5,5.54,5.39,5.37,85706.51,-0.19,-3.4,5.476,5.374,5.337,90240.06,77776.37,62176.07
2020-03-06,5.49,5.59,5.58,5.46,79453.45,0.04,0.72,5.454,5.376,5.335,81958.04,74522.98,61777.74
